Date,Risk_Free_10Y,Market_Return_Historical,Market_Risk_Premium,30Y_Treasury,2Y_Treasury,Fed_Funds,3M_LIBOR,SOFR,BBB_Spread,SPX_Beta,SPY_Beta,VIX
2024-01-02,4.05,10.50,6.00,4.41,4.45,5.31,5.33,5.31,1.85,1.00,1.00,14.5
2024-01-08,4.08,10.50,6.00,4.44,4.52,5.31,5.34,5.33,1.90,1.02,1.00,13.8
2024-01-15,4.10,10.50,6.00,4.46,4.55,5.31,5.35,5.34,1.95,1.05,1.00,14.2
2024-01-22,4.02,10.50,6.00,4.38,4.42,5.31,5.33,5.32,1.80,0.98,1.00,13.5
2024-01-29,3.98,10.50,6.00,4.35,4.35,5.31,5.32,5.31,1.75,0.95,1.00,13.2
2024-02-05,4.00,10.50,6.00,4.38,4.40,5.31,5.33,5.32,1.78,0.97,1.00,13.9
2024-02-12,4.05,10.50,6.00,4.42,4.48,5.31,5.35,5.34,1.85,1.01,1.00,14.8
2024-02-19,4.00,10.50,6.00,4.36,4.42,5.31,5.33,5.32,1.80,0.99,1.00,14.1
2024-02-26,3.95,10.50,6.00,4.32,4.38,5.31,5.32,5.31,1.72,0.96,1.00,13.6
2024-03-04,4.02,10.50,6.00,4.38,4.42,5.31,5.33,5.32,1.80,0.98,1.00,13.9
2024-03-11,4.05,10.50,6.00,4.41,4.45,5.31,5.34,5.33,1.85,1.00,1.00,14.5
2024-03-18,3.95,10.50,6.00,4.31,4.35,5.31,5.32,5.31,1.70,0.95,1.00,13.2
2024-03-25,3.98,10.50,6.00,4.34,4.38,5.31,5.33,5.32,1.75,0.97,1.00,13.5
2024-04-01,4.00,10.50,6.00,4.36,4.40,5.30,5.32,5.31,1.78,0.98,1.00,13.8
2024-04-08,4.05,10.50,6.00,4.41,4.45,5.30,5.34,5.33,1.85,1.01,1.00,14.2
2024-04-15,4.02,10.50,6.00,4.38,4.42,5.30,5.33,5.32,1.80,0.99,1.00,13.9
2024-04-22,3.95,10.50,6.00,4.31,4.35,5.30,5.32,5.31,1.72,0.96,1.00,13.4
2024-04-29,3.88,10.50,6.00,4.25,4.28,5.30,5.31,5.30,1.65,0.93,1.00,12.8
2024-05-06,3.95,10.50,6.00,4.31,4.35,5.30,5.32,5.31,1.72,0.96,1.00,13.2
2024-05-13,3.90,10.50,6.00,4.26,4.30,5.30,5.31,5.30,1.68,0.94,1.00,12.9
2024-05-20,3.85,10.50,6.00,4.21,4.25,5.30,5.30,5.29,1.62,0.92,1.00,12.5
2024-05-27,3.92,10.50,6.00,4.28,4.32,5.30,5.31,5.30,1.70,0.95,1.00,12.8
2024-06-03,4.00,10.50,6.00,4.36,4.40,5.30,5.32,5.31,1.80,0.98,1.00,13.5
2024-06-10,3.95,10.50,6.00,4.31,4.35,5.30,5.31,5.30,1.75,0.96,1.00,13.2
2024-06-17,3.98,10.50,6.00,4.34,4.38,5.30,5.32,5.31,1.78,0.97,1.00,13.4
2024-06-24,3.92,10.50,6.00,4.28,4.32,5.30,5.31,5.30,1.70,0.95,1.00,12.9
2024-07-01,4.00,10.50,6.00,4.36,4.38,5.30,5.32,5.31,1.80,0.98,1.00,13.5
2024-07-08,3.98,10.50,6.00,4.34,4.35,5.30,5.31,5.30,1.78,0.97,1.00,13.3
2024-07-15,4.05,10.50,6.00,4.41,4.42,5.30,5.32,5.31,1.85,1.00,1.00,14.0
2024-07-22,3.98,10.50,6.00,4.34,4.35,5.30,5.31,5.30,1.78,0.97,1.00,13.3
2024-07-29,3.90,10.50,6.00,4.26,4.28,5.30,5.30,5.29,1.68,0.94,1.00,12.8
2024-08-05,3.98,10.50,6.00,4.34,4.35,5.30,5.31,5.30,1.78,0.97,1.00,13.3
2024-08-12,4.05,10.50,6.00,4.41,4.42,5.30,5.32,5.31,1.85,1.00,1.00,14.0
2024-08-19,3.98,10.50,6.00,4.34,4.35,5.30,5.31,5.30,1.78,0.97,1.00,13.3
2024-08-26,4.05,10.50,6.00,4.41,4.42,5.30,5.32,5.31,1.85,1.00,1.00,14.0
2024-09-02,3.98,10.50,6.00,4.34,4.35,5.30,5.31,5.30,1.78,0.97,1.00,13.3
2024-09-09,4.05,10.50,6.00,4.41,4.42,5.30,5.32,5.31,1.85,1.00,1.00,14.0
2024-09-16,3.98,10.50,6.00,4.34,4.35,5.30,5.31,5.30,1.78,0.97,1.00,13.3
2024-09-23,4.05,10.50,6.00,4.41,4.42,5.30,5.32,5.31,1.85,1.00,1.00,14.0
2024-09-30,3.98,10.50,6.00,4.34,4.35,5.30,5.31,5.30,1.78,0.97,1.00,13.3
